ID,Name,CAS #,CAS,SMILES ,InChiKeys,VDss (L/kg),Reference,Comments
151,Clinafloxacin,105956-97-6,105956-97-6,NC1CCN(C1)c1c(F)cc2c(c1Cl)n(cc(c2=O)C(=O)O)C1CC1,QGPKADBNRMWEQR-UHFFFAOYSA-N,1.9,"Randinitis EJ, Brodfuehrer JI, Eiseman I, and Vassos AB (2001) Pharmacokinetics of clinafloxacin after single and multiple doses.  Antimic. Agents Chemother. 45: 2529-2535.  Wise R, Ashby JP, and Andrews JM (1988) In vitro activity of PD 127,391, an enhanced-spectrum quinoline.    Antimic. Agents Chemother.  32: 1251-1256.",
152,Clindamycin,18323-44-9,18323-44-9,[C@H]1([C@H]([C@H]([C@H](O[C@H]1SC)[C@H](C(C)Cl)NC(=O)[C@H]1N(C[C@@H](C1)CCC)C)O)O)O,KDLRVYVGXIQJDK-NQQGAZBYSA-N,0.79,"Gatti G, Flaherty J, Bubp J, White J, Borin M, and Gambertoglio J (1993) Comparative study of bioavailabilities and pharmacokinetics of clindamycin in healthy volunteers and patients with AIDS.  Antimic. Agents Chemother. 37: 1137-1143.  Gordon RC, Regamey C, and Kirby WMM (1973)  Serum protein binding of erythromycin, lincomycin, and clindamycin. J. Pharm. Sci. 62: 1074-1077.",
153,Clomipramine,303-49-1,303-49-1,Fc1ccc(cc1)OC(=O)c1ccc(cc1)Cl,QFOOQWZABMLXPS-UHFFFAOYSA-N,13,"Ollagnier M, Pellet J, Gay JP, Lang F, Ouvry MC, and Blanchon Y (1984) Pharmacocinetique d'une dose unique de clomipramine, en intraveneuse, chez le voluntaire sain.  Therapie  39: 237-245.  Nyberg G and Maartensson E (1984)  Determination of free fractions of tricyclic antidepressants.  Naunyn-Sch. Arch. Pharmacol. 327: 260-265.",Pharmacokinetic parameters were calculated from C vs t provided in the reference. 
154,Clonazepam,1622-61-3,1622-61-3,OCCN1CCN(CC1)CCCS(=O)(=O)O,OWXMKDGYPWMGEB-UHFFFAOYSA-N,2.9,"Crevoisier C, Delisle MC, Joseph I, and Foletti G (2003) Comparative single-dose pharmacokinetics of clonazepam following intravenous, intramuscular and oral administration to healthy volunteers.  Eur. Neurol. 49: 173-177.  Lucek RW and Coutinho CB.  (1976) The role of substituents in the hydrophobic binding of the 1,4-benzodiazepines by human plasma proteins.  Molec. Pharmacol. 12:  612-19.",VDss calculated using C vs t data obtained by digitization of the plot included in the reference.
155,Clonidine,4205-90-7,4205-90-7,Clc1c(NC2=NCCN2)c(Cl)ccc1,GJSURZIOUXUGAL-UHFFFAOYSA-N,3.3,"Vanholder R, Van Landschoot N, De Smet R, Schoots A, and Ringoir S (1988) Drug protein binding in chronic renal failure: evaluation of nine drugs.  Kidney Int. 33: 996-1004.  Frisk-Holmberg M, Paalzow L, and Edlund PO (1981) Clonidine kinetics in man-evidence for dose dependency and changed pharmacokinetics during chronic therapy.  Br. J. Clin. Pharmacol. 12: 653-658.",Used 1.27 mg/kg dose level data from Frisk-Holmberg et al.  VDss calculated from reported exponential fit parameters.
156,Clozapine,5786-21-0,5786-21-0,N1c2c(C(=Nc3c1ccc(c3)Cl)N1C(C(N(C(C1([2H])[2H])([2H])[2H])C)([2H])[2H])([2H])[2H])cccc2,QZUDBNBUXVUHMW-JNJBWJDISA-N,1.6,"Cheng YF, Lundberg T, Bondesson U, Lindstrom L, and Gabrielsson J (1988) Clinical pharmacokinetics of clozapine in chronic schizophrenic patients. Eur. J. Clin. Pharmacol. 34: 445-449.   Schaber G, Stevens I, Gaertner HJ, Dietz K, and Breyer-Pfaff U (1998) Pharmacokinetics of clozapine and its metabolites in psychiatric patients: plasma protein binding and renal clearance.  Br. J. Clin. Pharmacol. 46: 453-459. ",
157,Cocaethylene,529-38-4,529-38-4,O([C@@H]1[C@@H]([C@@H]2N([C@@H](CC2)C1)C)C(=O)OCC)C(=O)c1ccccc1,NMPOSNRHZIWLLL-XUWVNRHRSA-N,1.6,"Perez-Reyes M, Jeffcoat AR, Myers M, Sihler K, and Cook CE (1994) Comparison in humans of the potency and pharmacokinetics of intravenously injected cocaethylene and cocaine.  Psychopharmacol. 116: 428-432.  Bailey DN (1997) Effect of drugs and cocaine metabolites on cocaine and cocaethylene binding to uman serum in vitro.  Ther. Drug Monit. 19: 427-430.",Parameters were calculated from C vs t data obtained by digitization of plots in the reference.
158,Cocaine,50-36-2,50-36-2,O([C@@H]1[C@@H]([C@@H]2N([C@@H](CC2)C1)C)C(=O)OC)C(=O)c1ccccc1,ZPUCINDJVBIVPJ-LJISPDSOSA-N,2.0,"Chow MJ, Ambre JJ, Ruo TI, Atkinson AJ, Bowsher DJ, and Fischman MW (1985) Kinetics of cocaine distribution, elimination, and chronotropic effects. Clin. Pharmacol. Ther. 38: 318-324.  Javaid JI, Musa MN, Fischman M, Schuster CR, and Davis JM (1983) Kinetics of cocaine in humans after intravenous and intranasal administration.  Biopharm. Drug Dispos. 4: 9-18.  Edwards DJ and Bowles SK (1988) Protein binding of cocaine in human serum.  Pharm. Res.  5: 440-442.  Parker, Robert B.; Williams, Cheri L.; Laizure, S. Casey; Lima, John J.  Factors affecting serum protein binding of cocaine in humans.    Journal of Pharmacology and Experimental Therapeutics  (1995),  275(2),  605-10.","Paper by Javaid, et al. reported one compartment kinetics so VDss = C0/Dose. "
159,Codeine,76-57-3,76-57-3,O1[C@@H]2[C@@]34[C@H]([C@H](N(CC4)C)Cc4c3c1c(OC)cc4)C=C[C@@H]2O,OROGSEYTTFOCAN-DNJOTXNNSA-N,3.5,"Guay DRP, Awni WM, Findlay JWA, Halstenson CE, Abraham PA, Opsahl JA, Jones EC, and Matzke GR (1988) Pharmacokinetics and pharmacodynamics of codeine in end-stage renal disease.  Clin. Pharmacol. Ther. 43: 63-71.  Mohammed SS, Christopher MM, Mehta P, Kedar A, Gross S, and Derendorf H (1993) Increased erythrocyte and protein binding of codeine in patients with sickle cell disease.  J. Pharm. Sci. 82: 1112-1117.",
160,Colchicine,64-86-8,64-86-8,[C@H]1(c2cc(=O)c(ccc2c2c(c(c(OC)cc2CC1)OC)OC)OC)C(=O)C,UZYVHGGUESXZMN-CQSZACIVSA-N,6.1,"Ferron GM, Rochdi M, Jusko WJ, and Scherrmann JM (1996) Oral absorption characteristics and pharmacokinetics of colchicine in healthy volunteers after single and multiple doses. J. Clin. Pharmacol. 36: 874-883.  Sabouraud A, Chappey O, Dupin T, and Scherrmann JM (1994)  Binding of colchicine and thiocolchicoside to human serum proteins and blood cells.  Int. J. Clin. Pharmacol. Ther. 32: 429-432.",
161,Conivaptan,210101-16-9,210101-16-9,O=C(N1c2c(c3[nH]c(nc3CC1)C)cccc2)c1ccc(NC(=O)c2c(c3ccccc3)cccc2)cc1,IKENVDNFQMCRTR-UHFFFAOYSA-N,0.76,Vaprisol Product Label,VDss was calculated using C vs t data obtained by digitization of the plot provided in the product label.
162,Cotinine,486-56-6,486-56-6,CN1[C@@H](CCC1=O)c1cnccc1,UIKROCXWUNQSPJ-VIFPVBQESA-N,1.1,"Scherer G, Jarczyk L, Heller WD, Biber A, Neurath GB, and Adlkofer F (1988) Pharmacokinetics of nicotine, cotinine, and 3'-hydroxycotinine in cigarette smokers.  Klin. Wochenschr. 66(Supp 11): 5-11.  Curvall M, Elwin CE, Kazemi-Vala E, Warholm C, and Enzell CR (1990) The pharmacokinetics of cotinine in plasma and saliva from non-smoking healthy volunteers.  Eur. J. Clin. Pharmacol. 38: 281-287.",VDss calculated from C vs t data obtained by digitization of the plots provided in the references.
163,Cyclophosphamide,50-18-0,50-18-0,ClCCN(P1(=O)OCCCN1)CCCl,CMSMOCZEIVJLDB-UHFFFAOYSA-N,0.73,"Juma FD, Rogers HJ, and Trounce JR (1979) Pharmacokinetics of cyclophosphamide and alkylating activity in man after intravenous and oral administration. Br. J. Clin. Pharmacol. 8: 209-217.  Juma FD, Rogers HJ, and Trounce JR (1979) The kinetics of salivary elimination of cyclophosphamide in man.  Br. J. Clin. Pharmacol. 8: 455-458.",VDss calculated from microconstants reported in the reference.
164,Cyclosporine,59865-13-3,59865-13-3,[C@H]1(N(C(=O)[C@@H](N(C(=O)[C@@H](N(C(=O)[C@@H](N(C(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N(C(=O)[C@@H](NC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H](NC1=O)CC)C)C)CC(C)C)C(C)C)C)CC(C)C)C)C)C)CC(C)C)C)CC(C)C)C)C(C)C)C)[C@@H]([C@@H](C/C=C/C)C)O,PMATZTZNYRCHOR-CGLBZJNRSA-N,3.3,"Legg B, Gupta SK, Rowland M, Johnson RWG, and Solomon LR (1988) Cyclosporin: pharmacokinetics and detailed studies of plasma and erythrocyte binding during intravenous and oral administration.  Eur. J. Clin. Pharmacol. 34: 451-460.  Min DI, Lee M, Ku YM, and Flanigan M (2000) Gender-dependent racial difference in disposition of cyclosporine among healthy African American and white volunteers.  Clin. Pharmacol. Ther. 68: 478-486.   ",Reported whole blood parameters converted to plasma parameters using a blood/plasma ratio of 1.3.
165,Dacarbazine,4342-03-4,4342-03-4,O=C(N)C1=NC=NC1=NNN(C)C,OMJKFYKNWZZKTK-UHFFFAOYSA-N,1.2,"Loo TL, Housholder GE, Gerulath AH, Saunders PH, and Farquhar D (1976) Mechanism of action and pharmacology studies with DITC (NSC-45388) Canc. Treatment Rep. 60: 149-152.  DITC-DOME Product Label",Parameters calculated from C vs t data obtained by digitization of a plot provided in the reference.
166,Dalbavancin,171500-79-1,171500-79-1,c12c(c3cc(c1)[C@H](C(=O)N[C@H]1C(=O)N[C@@H]([C@@H](c4cc(c(O3)cc4)Cl)O)C(=O)N[C@H](C(=O)NCCCN(C)C)c3c(c4cc1ccc4O)c(cc(c3)O)O[C@H]1O[C@@H]([C@H]([C@@H]([C@@H]1O)O)O)CO)NC(=O)[C@@H]1c3c(c(cc(c3)Oc3c(cc(cc3)[C@@H](NC)C(=O)N[C@@H](C(=O)N1)Cc1ccc(cc1)O2)O)O)Cl)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)C(=O)O)O)O)NC(=O)CCCCCCCCC(C)C,IZJRUXNZMRDQJI-SZUNQUCBSA-N,0.14,"Leighton A, Gottlieb AB, Dorr MB, Jabes D, Mosconi G, VanSaders C, Mroszczak EJ, Campbell KCM, and Kelly E (2004) Tolerability, pharmacokinetics, and serum bactericidal activity of intravenous dalbavancin in healthy volunteers.  Antimic. Agents Chemother. 48: 940-945.   Jabés D, Candiani G, Romanó G, Brunati C, Riva S, and Cavaleri M (2004) Efficacy of Dalbavancin against Methicillin-Resistant Staphylococcus aureus in the Rat Granuloma Pouch Infection Model.  Antimicrob. Agents Chemother. 48: 1118-1123.",
167,Dalfopristin,112362-50-2,112362-50-2,N1C(=O)/C=C/[C@H]([C@H](OC(=O)[C@@H]2N(C(=O)c3nc(CC(=O)C[C@@H](/C=C(/C=C/C1)\C)O)oc3)CC[C@H]2S(=O)(=O)CCN(CC)CC)C(C)C)C,SUYRLXYYZQTJHF-VMBLUXKRSA-N,0.39,"Chevalier P, Rey J, Pasquier O, Rouzier-Panis R, Harding N, and Montay G (2001) Multiple-dose pharmacokinetics and safety of two regimens of quinupristine/dalfopristin (Synercid) in healthy volunteers.  J. Clin. Pharmacol. 41: 404-414.  Bergeron M and Montay G (1997) The pharmacokinetics of quinupristin/dalfopristin in laboratory animals and in humans.  J. Antimic. Chemother. 39(Supp. A): 129-138.  Bearden DT (2004)  Clinical pharmacokinetics of quinupristin/dalfopristin.  Clin. Pharmacokinet. 43: 239-252.",
168,Dantrolene,7261-97-4,7261-97-4,o1c(c2ccc([N+](=O)[O-])cc2)ccc1C=NN1CC(=O)NC1=O,OZOMQRBLCMDCEG-UHFFFAOYSA-N,0.37,"Podranski T, Boullion T, Schumacher PM, Taguchi A, Sessler DI, and Kurz A (2005) Compartmental pharmacokinetics of dantrolene in adults: do malignant hyperthermia association dosing guidelines work? Anesth. Analg.  101: 1695-1699. ",
169,Dapsone,80-08-0,80-08-0,Brc1cc2C(=O)CCCOc2cc1,JMIWCASGALGDMJ-UHFFFAOYSA-N,0.83,Pieters FAMJ and Zuidema J (1987) The absolute bioavailability of dapsone in dogs and humans.  Int. J. Clin. Pharmacol. Ther. Toxicol. 25: 396-400.  Biggs JT and Levy L (1971)  Binding of dapsone and monacetyldapsone by human plasma proteins.  Proc. Soc. Exp. Biol. Med. 137: 692-695.,VDss calculated from C vs t data obtained by digitization of plot provided in the reference.
170,Daptomycin,103060-53-3,103060-53-3,c1(c[nH]c2c1cccc2)C[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@]1([C@H](OC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)CNC1=O)CCCN)CC(=O)O)C)CC(=O)O)CO)[C@@H](CC(=O)O)C)CC(=O)c1c(cccc1)N)C)C)CC(=O)O)CC(=O)N)NC(=O)CCCCCCCCC,BTOZAHFFZDWCGE-AKVAXVQBSA-N,0.088,"Dvorchik BH, Brazier D, DeBruin MF, and Arbeit RD (2003)  Daptomycin pharmacokinetics and safety following administration of escalating doses once daily to healthy subjects. Antimic. Agents Chemother. 47: 1318-1323.  Woodworth JR, Nyhart EH, Brier GL, Wolny JD, and Black HR (1992) Single dose pharmacokinetics and antibacterial activity of daptomycin, a new lipopeptide antibiotic, in healthy volunteers.  Antimic. Ag. Chemother. 36: 318-325.  Benvenuto M, Benzinger DP, Yankelev S, and Vigliani G (2006) Pharmacokinetics and tolerability of daptomycin at doses up to 12 milligrams per kilogram of body weight once daily in healthy volunteers.  Antimic. Ag. Chemother. 50: 3245-3249.","VDss calculated from C vs t data obtained by digitization of plot provided in the Benvenuto, et al. references."
171,Darifenacin,133099-04-4,133099-04-4,O=C(N)C([C@H]1CN(CC1)CCc1cc2c(OCC2)cc1)(c1ccccc1)c1ccccc1,HXGBXQDTNZMWGS-RUZDIDTESA-N,2.6,Skerjanec A (2006) The clinical pharmacokinetics of darifenacin.  Clin. Pharmacokinet. 45: 325-350.  Enablex Product Label.,Pharmacokinetic parameters were calculated from C vs t data obtained by digitization of the plot provided in the reference.
172,Decitabine,2353-33-5,2353-33-5,C1(C[C@@H](O[C@@H]1CO)n1c(=O)nc(nc1)N)O,XAUDJQYHKZQPEU-YSLANXFLSA-N,4.6,"van Groeningen CJ, Leyva A, O'Brien AMP, Gall HE, and Pinedo HM (1986) Phase I and pharmacokinetic study of 5-aza-2'-deoxycytidine (NSC 127716) in cancer patients.  Cancer Res. 46: 4831-4836.  Dacogen Product Label.",
173,Delorazepam (Chlordesmethyldiazepam),2894-67-9,2894-67-9,Clc1ccc2c(c1)c(ncc(=O)n2)c1ccccc1Cl,FJZXDAPDVRRTNM-UHFFFAOYSA-N,2.2,"Bareggi SR, Pirola R, Potvin P, and Devis G (1995) Effects of liver disease on the pharmacokinetics of intravenous and oral chlordesmethyldiazepam.  Eur. J. Clin. Pharmacol. 48: 265-268.  Sennesael J, Verbeelen D, Vanhaelst L, Pirola R, and Bareggi SR (1991) Pharmacokinetics of intravenous and oral chlordesmethyldiazepam in patients on regular haemodialysis.  Eur. J. Clin. Pharmacol. 41:65-68.  Lucek RW and Coutinho CB (1976) The role of substituents in the hydrophobic binding of the 1,4-benzodiazepines by human plasma proteins.   Molec. Pharmacol.  12: 612-619.",Parameters were determined from C vs t data obtained by digitization of the C vs t plots for normal subjects provided in the references and averaged (N=2).
174,Demethylchlortetracycline,127-33-3,127-33-3,Clc1c2[C@@H](O)[C@H]3C[C@@H]4[C@](O)(C(=O)C3=C(O)c2c(O)cc1)C(=O)/C(=C(/O)\N)/C(=O)[C@H]4N(C)C,HXPZLYXFFSKHJA-GNCUHUTISA-N,1.3,"Kunin, CM, Darnbush AC, and Finland M (1959) Distribution and excretion of four tetracycline analogs in normal young men.  J. Clin. Invest. 38: 1950-63.",Calculated from digitized plots 
175,Denaverine,3579-62-2,3579-62-2,O(C(c1ccccc1)(c1ccccc1)C(=O)OCCN(C)C)CC(CC)CC,FPTOUQZVCUIPHY-UHFFFAOYSA-N,7.1,"Staab A, Schug BS, Larsimont V, Elze M, Thummler D, Mutschler E, and Blume H (2003) Pharmacokinetics and bioavailability of denaverine hydrochloride in healthy subjects following intravenous, oral, and rectal single doses.  Eur. J. Pharm. Sci. 18: 121-128.",
176,"Desacetylpaclitaxel, 4-; 4-methyl carbonate",172481-83-3,172481-83-3,O1[C@H]2[C@](OC(=O)OC)([C@@H]3[C@@]([C@@H](O)C2)(C(=O)[C@H](OC(=O)C)C2=C([C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C[C@@](O)([C@H]3OC(=O)c3ccccc3)C2(C)C)C)C)C1,GMJWGJSDPOAZTP-MIDYMNAOSA-N,6.9,"du Bois A, Jung B, Loehr A, Schaller-Kranz T, Cohen M, Frickhofen N (2006) A phase I and pharmacokinetic study of novel taxane BMS-188797 and cisplatin in patients with advanced solid tumours.  Br. J. Cancer. 94: 79-84.",
177,Desipramine,50-47-5,50-47-5,Cl.N1(c2c(CCc3c1cccc3)cccc2)CCCNC,XAEWZDYWZHIUCT-UHFFFAOYSA-N,15,"Ciraulo DA, Barnhill JG, and Jaffe JH (1988) Clinical pharmacokinetics of imipramine and desipramine in alcoholics and normal volunteers.  Clin. Pharmacol. Ther.  43: 509-518.  Brosen K and Gram LF (1988) First-pass metabolism of imipramine and desipramine: impact of the sparteine oxidation phenotype.  Clin. Pharmacol. Ther.  43: 400-406.  Nyberg G and Maartensson E (1984)  Determination of free fractions of tricyclic antidepressants.  Naunyn-Sch. Arch. Pharmacol. 327: 260-265.",VDss calculated from C vs t data obtained by digitization of plots provided in the references.  Data from CYP2D6 poor metabolizers not included.
178,Desmethyldiazepam,1088-11-5,1088-11-5,Clc1cc2C(=NCC(=O)Nc2cc1)c1ccccc1,AKPLHCDWDRPJGD-UHFFFAOYSA-N,0.45,"Klotz U, Antonin KH, Brugel H, and Bieck PR (1977) Disposition of diazepam and its major metabolite desmethyldiazepam in patients with liver disease.  Clin. Pharmacol. Ther. 21: 430-436.  Lucek RW and Coutinho CB. (1976) The role of substituents in the hydrophobic binding of the 1,4-benzodiazepines by human plasma proteins.  Molec. Pharmacol. 12: 612-619.",
179,Desmopressin,16679-58-6,16679-58-6,NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H]1NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)CCSSC1)Cc1ccc(cc1)O)CC(=O)N)CCCNC(=N)N,NFLWUMRGJYTJIN-NXBWRCJVSA-N,0.30,"Rembratt A, Graugaard-Jensen C, Senderovitz T, Norgaard, JP, and Djurhuus JC (2004) Pharmacokinetics and pharmacodynamics of desmopressin administered orally versus intravenously at daytime versus night-time in healthy men aged 55-70 years. Eur. J. Clin. Pharmacol.  60: 397-402.",
180,Dexamethasone,50-02-2,50-02-2,[C@@]12([C@H]([C@H]3[C@@]([C@@]4(C(=CC(=O)C=C4)CC3)C)([C@H](C2)O)F)C[C@H]([C@@]1(C(=O)CO)O)C)C,UREBDLICKHMUKA-CXSFZGCWSA-N,0.94,"Rose JQ, Yurchak AM, Meikle AW, and Jusko WJ (1981) Effect of smoking on prednisone, prednisolone, and dexamethasone pharmacokinetics.  J. Pharmacokinet. Biopharm. 9: 1-14.  Tsuei SE, Moore RG, Ashley JJ, and McBride WG (1979) Disposition of synthetic glucocorticoids. I. Pharmacokinetics of dexamethasone in healthy adults.  J. Pharmacokinet. Biopharm. 7: 249-264.",
181,Dexfenfluramine,3239-44-9,3239-44-9,FC(F)(F)c1cc(ccc1)C[C@@H](NCC)C,DBGIVFWFUFKIQN-VIFPVBQESA-N,11,"Cheymol G, Weissenburger J., Poirier JM, Gellee C. (1995) The pharmacokinetics of dexfenfluramine in obese and non-obese subjects.  Br. J. Clin. Pharmacol. 39: 684-687.  De la Torre R, Farre M, Navarro M, Pacifici R,  Zuccaro P, and Pichini S (2004) Clinical pharmacokinetics of amfetamine and related substances: monitoring in conventional and non-conventional matrices.  Clin. Pharmacokinet. 43: 157-185.",
182,Dexloxiglumide,119817-90-2,119817-90-2,Clc1cc(C(=O)N[C@@H](C(=O)N(CCCCC)CCCOC)CCC(=O)O)ccc1Cl,QNQZBKQEIFTHFZ-GOSISDBHSA-N,0.18,"Webber C, Roth A, Persiani S, Peard AJ, Makovec F, Kapil RP, John BA, Holding JD, D'Amato M, Cybulski, ZR, Chasseaud LF, and Rovati LC (2003) Pharmacokinetics and metabolism of the cholecystokinin antagonist dexloxiglumide in male human subjects.  Xenobiotica  33: 625-641.",Protein binding data for 1 ug/mL concentration is included.
183,Dexmedetomidine,145108-58-3,145108-58-3,c1([C@@H](c2cccc(c2C)C)C)c[nH]cn1.Cl,VPNGEIHDPSLNMU-RFVHGSKJSA-N,1.6,"Anttila A, Penttila J, Helminen A, Vuorilehto L, and  Scheinin H (2003)  Bioavailability of dexmedetomidine after extravascular doses in healthy subjects. Br. J. Clin. Pharmacol. 56: 691-693.  Precedex Product Label.",
184,Dexniguldipine,120054-86-6,120054-86-6,O(CCCN1CCC(CC1)(c1ccccc1)c1ccccc1)C(=O)C1=C(NC(=C([C@H]1c1cc([N+](=O)[O-])ccc1)C(=O)OC)C)C,SVJMLYUFVDMUHP-MGBGTMOVSA-N,8.4,"Goedhals L, Bezwoda WR, Abratt RP, Rathgeb F, Goebel KJ, and Wurst W (1995) Bioavailability and pharmacokinetic characteristics of dexniguldipine-HCl, a new anticancer drug.  Int. J. Clin. Pharmacol. Ther. 33: 664-669.      ",VDss calculated from C vs t data obtained by digitization of plots provided in the reference.
185,Dexrazoxane,24584-09-6,24584-09-6,O=C1NC(=O)CN([C@@H](CN2CC(=O)NC(=O)C2)C)C1,BMKDZUISNHGIBY-SSDOTTSWSA-N,0.55,"Rosing H, Ten Bokkel Huinink WW, Van Gijn R, Rombouts RFM, Bult A, and Beijnen JH (1999) Comparative open, randomized, cross-over bioequivalence study of two intravenous dexrazoxane formulations (Cardioxane and ICRF-187) in patients with advanced breast cancer, treated with 5-fluorouracil-doxorubicin-cyclophosphamide (FDC).  Eur. J. Drug Metab. Pharmacokinet. 24: 69-77.  Zinecard Product Label.",
186,DHA Paclitaxel,199796-52-6,199796-52-6,O1[C@H]2[C@](OC(=O)C)([C@@H]3[C@@]([C@@H](O)C2)(C(=O)[C@H](OC(=O)C)C2=C([C@@H](OC(=O)[C@H](OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C[C@@](O)([C@H]3OC(=O)c3ccccc3)C2(C)C)C)C)C1,LRCZQSDQZJBHAF-PUBGEWHCSA-N,0.068,"Sparreboom A, Wolff AC, Verweij J, Zabelina Y, van Zomeren DM, McIntire GL, Swindell CS, Donehower RC, and Baker SD (2003) Disposition of docosahaenoic acid-paclitaxel, a novel taxane, in blood: in vitro and clinical pharmacokinetic studies.  Clin. Cancer Res. 9: 151-159.",Pharmacokinetic paremeters were calculated from C vs t data obtained by digitization of the plot provided in the reference.
187,Diatrizoic Acid (Amidotrizoate),117-96-4,117-96-4,CC(=O)Nc1c(I)c(NC(=O)C)c(c(c1I)C(=O)O)I,YVPYQUNUQOZFHG-UHFFFAOYSA-N,0.26,"Feldman S, Hayman LA, and Hulse M (1984) Pharmacokinetics of low- and high-dose intravenous diatrizoate contrast media administration.    Invest. Radiol. 19: 54-57.  Back SE, Krutzen E, and Nilsson-Ehle P (1988) Contrast media as markers for glomerular filtration: a pharmacokinetic comparison of four agents.  Scand. J. Clin. Lab Invest.  48: 247-253.",
188,Diazepam,439-14-5,439-14-5,Clc1cc2c(N(C(=O)CN=C2c2ccccc2)C)cc1,AAOVKJBEBIDNHE-UHFFFAOYSA-N,1.0,"Klotz U, Avant GR, Hoyumpa A, Schenker S, and Wilkinson (1975) The effects of age and liver disease on the disposition and elimination of diazepam in adult man.  J. Clin. Invest. 55: 347-359.  Andersson T, Andren K, Cederberg C, Edvardsson G, Heggelund A, and Lundborg P (1990) Effect of omeprazole and cimetidine on plasma diazepam levels.  Eur. J. Clin. Pharmacol. 39: 51-54.  Herman RJ and Wilkinson GR (1996) Disposition of diazepam in young and elderky subjects after acute and chronic dosing.  Br. J. Clin. Pharmacol. 42: 147-155.  Lucek RW and Coutinho CB (1976) The role of substituents in the hydrophobic binding of the 1,4-benzodiazepines by human plasma proteins.    Molec. Pharmacol. 12:  612-619.  Desmond PV, Roberts RK, Wood AJJ, Dunn GD, Wilkinson GR, and Schenker S (1980) Effect of heparin administration on plasma binding of benzodiazepines.  Br. J. Clin. Pharmacol. 9: 171-175.",
189,Diazoxide,364-98-7,364-98-7,Clc1cc2=S(=O)(O)N=C(N=c2cc1)C,JEPPHNFUVBTYKM-UHFFFAOYSA-N,0.21,"Oglivie RI, Nadeau JH, and Sitar DS (1982) Diazoxide concentration-response relation in hypertension. Hypertension 4: 167-173.   Kirsten R, Nelson K, Kirsten D, and Heintz B (!988) Clinical  pharmacokinetics  of vasodilators. Part I.  Clin. Pharmacokinet. 34: 457-482.  ",
190,Dibekacin,34493-98-6,34493-98-6,O([C@@H]1[C@@H](O)[C@H](O[C@H]2O[C@@H](CC[C@H]2N)CN)[C@@H](N)C[C@H]1N)[C@H]1O[C@@H]([C@@H](O)[C@H](N)[C@H]1O)CO,JJCQSGDBDPYCEO-XVZSLQNASA-N,0.13,"Arancibia A, Chavez J, Ibarra R, Ruiz I, Icarte A, Thambo S, and Chavez H (1987) Disposition kinetics of dibekacin in normal subjects and in patients with renal failure.  Int. J. Clin. Pharmacol, Ther. Toxicol. 25: 38-43.  Goto M, Sugiyama M, and Ishizaki T (1980) Pharmacokinetic studies with dibekacin, a new aminoglycoside, after intravenous and intramuscular administration to human volunteers.  Antimic. Agents Chemother. 18: 372-376.",Plasma concentrations measured with a bioassay.
191,Dichloroacetic Acid,79-43-6,79-43-6,ClC(Cl)C(=O)O,JXTHNDFMNIQAHM-UHFFFAOYSA-N,0.19,"Jia M, Coats B, Chadha M, Frentzen B, Perez-Rodriguez J, Chadik PA, Yost RA, Henderson GN, and Stacpoole PW (2006) Human Kinetics of Orally and Intravenously Administered Low-Dose 1,2-13C-Dichloroacetate.  J. Clin. Pharmacol.  46: 1449-1459.",
192,Diclofenac,15307-86-5,15307-86-5,N(c1c(Cl)cccc1Cl)c1c(CC(=O)O)cccc1,DCOPUUMXTXDBNB-UHFFFAOYSA-N,0.22,"Willis JV, Kendall MJ, Flinn RM, Thornhill DP, and Welling PG (1979) The pharmacokinetics of diclofenac sodium following intravenous and oral administration.  Eur. J. Clin. Pharmacol. 16: 405-410.  Leucuta SE, Rus V, Bolosiu H, Mocan A, Polinicencu C, and Bojita M (1996) Farmacocinetica diclofenacului sodic administrat in doza unica pe cale intravenosa si orala sub forma de solutie injectabilia experimentala.  Farmacia 43: 43-50.  Chan KKH, Vyas KH, and Brandt KD (1987) In vitro protein binding of diclofenac sodium in plasma and synovial fluid.    J. Pharm. Sci. 76: 105-108.",VDss calculated using micro rate constants and exponential fit parameters reported in the references.  
