std_smiles,VDss (L/kg)
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,-0.585
CC1SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C(C(=O)O)=C1Sc1c[nH]nn1,-0.658
O=c1nc[nH]c2[nH]ncc12,-0.237
O=C1NCC2(CCN(CCc3ccccc3)CC2)O1,0.477
CN(C)C(=O)Oc1ccc[n+](C)c1,0.0414
CC1=C(C(=O)O)N2C(=O)[C@H](NC(=O)[C@H](N)c3ccccc3)C2SC1,-0.678
C=CCc1ccccc1OCC(O)CNC(C)C,0.505
CCC(C)C1NC(=O)C(Cc2ccc(OC)cc2)NC(=O)CC(C)(C)SSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(C(C)O)NC1=O,0.799
COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCc3cc(OC)c(OC)cc3[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,-0.854
CCOC1(C(C)=O)C=CC(N)=CC1,0.146
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,-0.523
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C,0.322
Cc1ccnc2c1N=C(N)c1cccnc1N2C1CC1,0.114
CCCNC(C)C(=O)Nc1ccccc1C,0.568
O=C1C(CC[S+]([O-])c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,-0.921
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,-0.678
N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1,-0.638
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)[O-])cc1,-0.886
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)C2O)n1,1.15
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3N(C)C)C3COC(=O)C23)OCO4)cc(OC)c1O,-0.523
NC12C[C@H]3C[C@H](C1)C[C@@H](C2)C3,0.82
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,1.15
O=c1[nH]c2ccccc2n1CCCCl,0.531
CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,0.519
Cc1cccc(C)c1OCC(C)N,0.771
CN[C@@H]1[C@H](OC2[C@H](O[C@@H]3[C@@H](N=C(N)N)[C@H](O)[C@@H](N=C(N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O,-0.469
N[C@@H](Cc1ccccc1)C(=O)O,-0.319
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,0.519
CN1Cc2c(N)cccc2C(c2ccccc2)C1,0.778
CN(C)[C@@H]1C(=O)/C(=C(/N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,0.114
C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,-0.161
CC(C)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,0.23
O=c1nccc(NF)[nH]1,-0.167
Nc1nc(Cl)nc2c1ncn2[C@H]1CC(O)[C@@H](CO)O1,0.886
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,-1.01
CCOc1ccc2ccccc2c1NC(=O)[C@@H]1C(=O)N2C(C(=O)[O-])C(C)(C)S[C@H]12,-0.658
Nc1c2c(nc3ccccc13)CCCC2,1.04
COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,-0.658
NC1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12,0.114
Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c65,-0.602
C[C@@H](C=C[C@@H](C)[C@H]1CC[C@H]2C(=CC=C3C[C@@H](O)C[C@H](O)C3)CCC[C@@]21C)C(C)(C)O,-0.387
O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,-0.114
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N,0.0414
CON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[nH]n3C)CSC12)c1csc(N)n1,-1.07
CCCCCC/C=C\CCCCCCCCCC(=O)N[C@H]1[C@H](OC[C@H]2O[C@H](OP(=O)(O)O)[C@H](NC(=O)CC(=O)CCCCCCCCCCC)[C@@H](OCCCCCCCCCC)[C@@H]2O)O[C@H](COC)[C@@H](OP(=O)(O)O)[C@@H]1OCC[C@@H](CCCCCCC)OC,-1.32
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2)s1,-0.824
COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@H]5CO[C@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,-0.745
CS(=O)(=O)N(CCO)c1c(Cl)c(Cl)cc2[nH]c(=O)c(=O)[nH]c12,-0.0969
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,-0.292
O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1,0.914
Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1,0.0414
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,0.477
COC1C(=O)C(C)CC(C)/C=C/C=C/C=C(\C)[C@@H](OC)C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](n3cnnn3)C(OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@H]1O,0.114
NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,0.279
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0.301
CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,0.204
Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(CO)c8c1c2c(c34)c(c65)c78,-0.252
C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,-0.42
C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,-0.495
COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3[NH+](C)CC2)CC[N+]1(C)C,-0.347
CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,1.08
CC(C)N(CC(O)c1cc(O)cc(O)c1)c1ccc(O)cc1,0.0792
CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,0.0792
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@]3(F)[C@H](O)C[C@]2(C)[C@]1(O)C(=O)CO,0.114
Cc1cccc(C)c1NC(=O)NCCCNC(C)C,0.146
C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,-0.161
COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)C(O)C1O,0.69
COc1cc(NS(C)(=O)=O)ccc1Cc1c2ccccc2nc2ccccc12,0.204
NC(=O)[NH+][O-],-0.284
O=C(CCC[NH+]1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,1.23
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,0.0
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,0.69
CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1N1CCCCC1,-0.824
CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,0.204
CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O,-0.387
CCCC(=O)N1CCCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,-0.143
CN1[C@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@@H]1O[C@@H]12,0.491
COc1ccc2c(c1)c(CC(=O)[O-])c(C)n2C(=O)c1ccc(Cl)cc1,-1.02
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,-0.638
CNCCCC12CCC(c3ccccc31)c1ccccc12,1.65
CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,0.919
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)[C@@H]1c1cccc([N+](=O)[O-])c1,0.924
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-0.886
CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,1.15
CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,-0.26
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,0.491
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,-0.125
[2H]C1([2H])N(C2CCN(C(=O)Oc3ccc4nc5c(c(CC)c4c3)Cn3c-5cc4c(c3=O)COC(=O)C4(O)CC)CC2)C([2H])([2H])C([2H])([2H])C([2H])([2H])C1([2H])[2H],0.544
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,-0.658
COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2C)cc1,0.342
N#Cc1ccc2c(c1)CN(S(=O)(=O)c1cccs1)C(Cc1ccccc1)CN2Cc1cnc[nH]1,-0.0757
CON=C(C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,-0.721
CCCCC/C=C/CCC(=O)NC1C(Oc2c3cc4cc2Oc2ccc(cc2Cl)C(OC2OC(CO)C(O)C(O)C2NC(C)=O)C2NC(=O)C(NC(=O)C4NC(=O)C4NC(=O)C(NC(=O)C(N)c5ccc(O)c(c5)Oc5cc4cc(O)c5C)C(O)c4ccc(c(Cl)c4)O3)c3ccc(O)c(c3)-c3c(OC4OC(CO)C(O)C(O)C4O)cc(O)cc3C(C(=O)OC)NC2=O)OC(CO)C(O)C1O,0.176
CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,0.519
C[C@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1,0.681
c1ccc2c(c1)OCC(C1=NCCN1)O2,0.519
CCCC[C@H](CN(O)C=O)C(=O)N[C@H](C(C)=O)C(C)(C)C,0.0414
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+](O)C1,-0.602
C[N+]1(CC2CC2)CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,0.415
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,1.34
CC(=O)Oc1ccccc1C(=O)O,-0.658
CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,0.114
COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,0.0792
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,0.505
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.0
Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)C(O)c3ccccc3)C2SC1,-0.796
O=C(NCCNCC(O)COc1ccc(O)cc1)N1CCOCC1,-0.194
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,-0.921
CC(C)(C)CCCCCCCCN,-0.495
CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,-0.886
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@H](C)[C@H](OC(C)=O)[C@H]1C)C4=O,0.968
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,0.38
O=C(OC1CC2CC3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,0.301
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C=C(C(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,-0.268
O=C[C@H](O)CO,0.431
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,0.342
COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,-0.62
CN(C)[C@@H]1C(O)=C(C(N)=O)C[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C(O)[C@@H]12,0.23
NCCC(O)(P(=O)(O)O)P(=O)(O)O,0.255
Cn1cc(NC(=O)Nc2cc(C(=O)Nc3cc(C(=O)Nc4ccc5cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c5c4)n(C)c3)n(C)c2)cc1C(=O)Nc1cc(C(=O)Nc2ccc3cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c3c2)n(C)c1,-0.569
CS(=O)(=O)OCCCCOS(C)(=O)=O,-0.26
CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/C(O)C[C@H](O)CC(=O)O,0.23
COc1cc2c(N)nc(N3CCN(C(=O)OCC(C)(C)O)CC3)nc2c(OC)c1OC,-0.745
COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,-0.114
CC(=O)Nc1ccc(O)cc1,0.0
N[C@H](C(=O)O)[C@@H]1CC(Cl)=NO1,-0.301
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,0.0414
N=C1NC(=O)/C(=C/c2ccnc3ccccc23)S1,0.0414
CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,0.204
CCN(CC)CCC[C@@H](C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,1.65
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,0.322
O=C([O-])C1(C(=O)[O-])CCC1,-0.585
[2H]C([2H])([2H])C(=O)NC1C(N)CC(C(=O)O)=CC1OC(CC)CC,-0.432
O[C@H](CNC[C@@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@@H]1CCc2cc(F)ccc2O1,1.04
O=C(OC1Cc2c(O)cc(O)c(C3c4c(O)cc(O)cc4OC(c4ccc(O)c(O)c4)C3OC(=O)c3cc(O)c(O)c(O)c3)c2OC1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,-0.125
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,0.973
CCCC1OC2(C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)C2C(=O)CO)O1,0.591
CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,0.477
O=C(CCCCCCC(=O)Nc1ccccc1)NO,-0.301
CNC(C)[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1,-0.481
Cc1ncc([N+](=O)[O-])n1C(C)O,-0.398
O=C(O)C1=C/C(=N\Nc2ccc(O)c(C(=O)O)c2)C=CC1=O,-1.15
C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O,-0.0809
COCC(=O)Nc1c(I)c(C(N)=O)c(I)c(C(=O)NCC(O)CO)c1I,-0.658
O=C1c2ccccc2S(=O)(=O)N1CCCCNC[C@H]1CCc2ccccc2O1,-0.678
CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,0.23
CC1=C(CO)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,0.491
[2H]C([2H])([2H])n1nc(C(=O)N[C@@H]2C[C@@H]3CCC[C@H](C2)N3C)c2ccccc21,0.568
CC1(C)O[C@@H]2CC3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)C4(F)[C@@H](O)C[C@]3(C)C2(C(=O)CO)O1,0.146
CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@H]2SC1(C)C,-0.432
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,-0.921
Cc1ccccc1OCC(O)CNCCOc1ccc(C(N)=O)cc1,0.602
CCC1C(C)=NN=C(c2ccc(OC)c(OC)c2)c2cc(OC)c(OC)cc21,-0.921
CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C,0.708
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](C(C)=O)CC2,0.785
C#C[C@@]1(O)CCC2[C@@H]3CCC4=CC(=O)CC[C@@H]4C3CC[C@@]21CC,0.176
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3[nH+]c2-1,0.255
CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@](C)(O)C3C[C@@H]12,-0.0458
N=C(N)N1CCCC(CNC(=O)C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N(CC(=O)O)C2CC2)C1,-0.444
C[NH+]1CCN2c3[nH+]cccc3Cc3ccccc3[C@@H]2C1,0.623
CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,-0.00877
CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,0.279
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,2.15
CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,-0.268
Cn1nnc2c(C(N)=O)ncn2c1=O,-0.301
[2H]C([2H])([2H])C([2H])([2H])Cc1cc(=O)[nH]c(=S)[nH]1,-0.469
O=C([O-])O,-0.208
CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccsc3)C(=O)N2[C@H]1C(=O)O,-0.796
CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,0.82
CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,-1.15
Clc1ccc2nsnc2c1NC1=NCCN1,0.38
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,0.0414
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,0.255
Cn1cc[nH]c1=S,-0.0655
[2H]c1c([2H])c([2H])c2c(=O)n(C3CCCN(C)CC3)nc(Cc3ccc(Cl)cc3)c2c1[2H],1.18
C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2OP(=O)(O)O,-0.921
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,0.477
CC[N+](C)(C)c1cccc(O)c1,0.0414
Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,-0.959
Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,0.114
Cc1cc(C(=O)NS(=O)(=O)c2ccc(N)cc2)no1,-0.523
O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1,0.69
COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,0.114
Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.201
CC(C)n1c(C=CC(O)CC(O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21,-0.377
O=P1(N(CCCl)CCCl)NCCCO1,-0.137
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,-0.0969
CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N(C(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](N)CCCNC(N)=O)[C@H](C)C(=O)N(C(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](N)Cc1cccnc1)C(=O)[C@H](N)Cc1ccc(Cl)cc1,-0.409
C=C1N=C(CN2CCO[C@@H](O[C@@H](C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@H]2c2ccc(F)cc2)NN1,-0.0269
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,-0.585
C#C[C@]1(O)CCC2[C@@H]3CCc4cc(O)ccc4C3CC[C@@]21C,0.633
[2H]C1([2H])N(C(=O)C[C@@H](N)Cc2cc(F)c(F)cc2F)Cc2nnc(C(F)(F)F)n2C1([2H])[2H],0.447
CNC(=O)c1cccc2c(Nc3ccc(NS(C)(=O)=O)cc3OC)c3cccc(C)c3nc12,-0.523
CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,-0.569
CC(C)(ON=C(C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,-0.509
CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,0.176
O=C(O)CCNC(=O)c1ccccc1,-0.553
CNCCC=C1c2ccccc2CCc2ccccc21,1.34
CC(=O)O[C@H]1CC2CCC3C(CC[C@@]4(C)C3C[C@H](N3CC[N+](C)(C)CC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CC[N+](C)(C)CC1,-0.456
CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1,0.519
Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3,1.08
c1ccc(C2(N3CCCCC3)CCCCC2)cc1,0.839
CCCC(C)C1(CC)C(=O)N=C([O-])NC1=O,-0.041
Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)C(O)C1O,0.342
CCOC(=O)C(=O)c1ccc(C(C)(C)C)cc1,-0.602
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(SCCOC(N)=O)S[C@H]12,-0.523
CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,0.204
CN1C(=O)C(O)C[C@H]1c1cccnc1,-0.0706
CCCC(C)CC1(CC)C(=O)N=C([S-])NC1=O,0.0792
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,0.362
CSCO[C@H]1C[C@H]2OC[C@@]2(OC(C)=O)[C@H]2[C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C([C@@H](OC(C)=O)C(=O)[C@]12C)C3(C)C,1.04
COC(=O)C1=C(C)N(C)C(C)=C(C(=O)OC)C1c1cccc(C)c1[N+](=O)[O-],-0.102
CC1=NS(=O)(O)=c2cc(Cl)ccc2=N1,-0.678
COc1cc(C[C@H]2c3c(cc(OC)c(OC)c3OC)CC[N@+]2(C)CCCOC(=O)CCC(=O)OCCC[N@+]2(C)CCc3cc(OC)c(OC)c(OC)c3[C@H]2Cc2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,-0.658
CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,0.724
COc1cc2c(cc1O)CCN[C@]21CCS[C@@H]2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H](O)[C@@H]3Cc5cc(C)c(OC)c(O)c5[C@H]([C@H]21)N3C)OCO4,1.4
CN[C@@H](C)Cc1ccccc1,0.633
C=C[C@H]1C[NH+]2CC[C@@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,0.462
CN/C(=N\C#N)NCC[S](C)c1[nH]cnc1C,0.0792
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,-0.367
Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,-0.959
O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O,0.799
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,1.52
CC1CCCC(C)N1CCCC(O)(c1ccccc1)c1ccccn1,0.146
O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,-0.0706
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-0.268
CNS(=O)(=O)CCc1ccc2[nH]ccc2c1,0.38
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,0.556
C=CCN1CCCC1CNC(=O)c1cc2nn[nH]c2cc1OC,0.204
