MoKa.LogD7.4,"fraction unbound 
in plasma (fu)",moka_ionState7.4,std_smiles,std_relation,human VDss (L/kg),inchi_key
3.0,0.04,neutral,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C,=,2.1,ZDZOTLJHXYCWBA-VCVYQWHSSA-N
-3.3,0.12,anionic,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,=,0.69,JBIWCJUYHHGXTC-AKNGSSGZSA-N
2.9,0.06,cationic,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,=,0.75,ZKMNUMMKYBVTFN-HNNXBMFYSA-N
6.6,0.068,neutral,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,=,3.3,PMATZTZNYRCHOR-LQJDIJJQSA-N
-3.2,,neutral,CC[N+](C)(C)c1cccc(O)c1,=,1.1,VWLHWLSRQJQWRG-UHFFFAOYSA-O
3.2,0.095,neutral,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,=,1.1,DBEPLOCGEIEOCV-WSBQPABSSA-N
1.3,,neutral,CN(C)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O,=,7.33,UPALIKSFLSVKIS-UHFFFAOYSA-N
2.2,,cationic,NCCCC[C@H](NC(=O)[C@@H](Cc1cc(Br)c(O)c(Br)c1)NC(=O)N1CCC(N2Cc3ccccc3NC2=O)CC1)C(=O)N1CCN(c2ccncc2)CC1,=,0.31,ITIXDWVDFFXNEG-JHOUSYSJSA-N
-1.8,0.27,cationic,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](COC(=O)CN)NC(=O)C(Cl)Cl)cc1,=,0.13,AMGKHLVPQHMHGQ-ZYHUDNBSSA-N
4.5,,neutral,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2CC[Si](C)(C)C,=,3.26,POADTFBBIXOWFJ-VWLOTQADSA-N
-2.6,0.99,neutral,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,=,1.0,IRSCQMHQWWYFCW-UHFFFAOYSA-N
3.4,0.056,cationic,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,=,0.84,LEBVLXFERQHONN-UHFFFAOYSA-N
0.36,0.14,zwitterionic,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,=,0.48,SGDBTWWWUNNDEQ-LBPRGKRZSA-N
-0.9,0.77,cationic,CCNCC(O)c1cccc(O)c1,=,2.1,SQVIAVUSQAWMKL-UHFFFAOYSA-N
-0.28,,zwitterionic,C[C@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC(F)F)CCN1,=,1.1,QBDBUKJBJJWZMG-VIFPVBQESA-N
-1.6,,zwitterionic,CCCC[P@@](=O)(O)CCCN,=,,ONNMDRQRSGKZCN-UHFFFAOYSA-N
-3.8,,neutral,N#C[C@@H](O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,=,0.21,XUCIJNAGGSZNQT-UUGBRMIUSA-N
1.8,0.53,neutral,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,=,1.1,UYXAWHWODHRRMR-UHFFFAOYSA-N
2.7,0.092,neutral,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,=,0.75,UMSGKTJDUHERQW-UHFFFAOYSA-N
-0.36,0.55,zwitterionic,C[C@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@@H](C)N1,=,3.9,DZZWHBIBMUVIIW-DTORHVGOSA-N
2.8,0.023,neutral,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,=,1.0,AAOVKJBEBIDNHE-UHFFFAOYSA-N
2.0,0.11,neutral,Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](CO)OC4=O)cc3F)cn2)n1,=,0.91,XFALPSLJIHVRKE-GFCCVEGCSA-N
1.7,,cationic,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,=,14.0,DKMFBWQBDIGMHM-UHFFFAOYSA-N
0.84,0.87,cationic,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1,=,2.65,DUGOZIWVEXMGBE-CHWSQXEVSA-N
-9.0,,cationic,CC[C@@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](N)Cc1ccc(O)cc1)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](C(=O)N[C@H](CC(N)=O)C(=O)N[C@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCCN)C(=O)N[C@@H](C(=O)N[C@H](CC(C)C)C(=O)NCC(=O)N[C@H](CCC(N)=O)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CO)C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CCC(N)=O)C(=O)N[C@H](CC(=O)O)C(=O)N[C@@H](C(=O)N[C@H](CCSC)C(=O)N[C@H](CO)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)[C@H](C)CC)C(C)C)[C@@H](C)O,=,0.34,WGWPRVFKDLAUQJ-SFKRRTENSA-N
-3.0,,neutral,CS(=O)(=O)OC[C@H](O)[C@@H](O)COS(C)(=O)=O,=,0.59,YCPOZVAOBBQLRI-WDSKDSINSA-N
1.2,0.72,cationic,CCCNC(C)C(=O)Nc1ccccc1C,=,3.7,MVFGUOIZUNYYSO-UHFFFAOYSA-N
5.0,0.01,cationic,Cc1nc2c([nH]1)-c1ccccc1N(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)CC2,=,0.76,IKENVDNFQMCRTR-UHFFFAOYSA-N
1.7,0.2,anionic,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,=,0.97,JQXXHWHPUNPDRT-SBMPKVQQSA-N
3.0,0.13,neutral,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,=,3.9,VOVIALXJUBGFJZ-KWVAZRHASA-N
0.83,,cationic,Nc1cc(OCC2CC2)c(C(=O)NC2CN3CCC2CC3)cc1Cl,=,3.9,DBQMQBCSKXTCIJ-UHFFFAOYSA-N
-7.0,0.76,anionic,O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O,=,6.3,IIDJRNMFWXDHID-UHFFFAOYSA-N
0.86,0.16,cationic,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,=,0.65,GUJRSXAPGDDABA-NSHDSACASA-N
3.5,,neutral,CC[C@H](C)[C@H]1NC(=O)[C@@H](NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](C)O)[C@@H](C)OC(=O)[C@H](Cc2ccc(OC)cc2)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)C(=O)[C@H](C(C)C)OC(=O)C[C@@H]1O,=,1.42,KYHUYMLIVQFXRI-SJPGYWQQSA-N
-7.6,0.087,anionic,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O,=,0.25,VVIAGPKUTFNRDU-ABLWVSNPSA-N
4.0,0.004,neutral,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,=,,RITAVMQDGBJQJZ-FMIVXFBMSA-N
-1.9,1.0,neutral,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,=,1.5,SDUQYLNIPVEERB-QPPQHZFASA-N
-0.31,0.006,anionic,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,=,0.04,MDKGKXOCJGEUJW-UHFFFAOYSA-N
0.61,,cationic,Clc1cccc(N2CCNCC2)c1,=,2.5,VHFVKMTVMIZMIK-UHFFFAOYSA-N
-7.4,0.0023,neutral,CCCCCOc1ccc(-c2cc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)C([C@H](O)[C@@H](O)c5ccc(O)c(OS(=O)(=O)O)c5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)C([C@@H](C)O)NC4=O)cc3)no2)cc1,=,0.21,PIEUQSKUWLMALL-LXWXBMNESA-N
-0.76,0.0068,anionic,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,=,0.11,OZWKMVRBQXNZKK-UHFFFAOYSA-N
1.3,0.31,neutral,CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,=,0.98,GJSLOMWRLALDCT-UHFFFAOYSA-N
2.5,,cationic,COc1ccsc1CNCC[C@@]1(c2ccccn2)CCOC2(CCCC2)C1,=,0.78,DMNOVGJWPASQDL-OAQYLSRUSA-N
2.3,,neutral,O=C1C[C@@H](c2ccccc2)Oc2cc(O)cc(O)c21,=,0.8,URFCJEUYXNAHFI-ZDUSSCGKSA-N
-1.8,0.85,neutral,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,=,0.71,MKUXAQIIEYXACX-UHFFFAOYSA-N
-9.0,,cationic,CC[C@H](C)[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CO)CSSC[C@@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)CNC1=O,=,0.2,NSQLIUXCMFBZME-MPVJKSABSA-N
-5.3,,cationic,CN[C@H]1[C@@H](O)[C@@H](NC)[C@H](O)[C@H]2O[C@@H]3O[C@H](C)CC(=O)[C@]3(O)O[C@H]12,=,0.13,UNFWWIHTNXNPBV-WXKVUWSESA-N
1.0,0.08,anionic,COc1cc(F)ccc1Cn1ccc2c3c(ncc21)C(=O)N(O)CC3,=,5.7,OYKZKGBMHATGTA-UHFFFAOYSA-N
0.93,0.13,cationic,CC(C)NCC(O)COc1cccc2ccccc12,=,3.1,AQHHHDLHHXJYJD-UHFFFAOYSA-N
-0.51,,neutral,O=[N+]([O-])OC[C@H](O)CO,=,0.76,HXWLJBVVXXBZCM-GSVOUGTGSA-N
5.5,0.02,cationic,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,=,15.4,UCJGJABZCDBEDK-UHFFFAOYSA-N
4.2,0.014,cationic,CN(c1nc2ccccc2s1)C1CCN(C[C@@H](O)COc2ccc(F)cc2)CC1,=,5.5,IGMKTIJBFUMVIN-GOSISDBHSA-N
3.1,0.04,neutral,Nc1nc2ccc(OC(F)(F)F)cc2s1,=,3.5,FTALBRSUTCGOEG-UHFFFAOYSA-N
-7.7,,anionic,Nc1nc(=O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O,=,0.27,VVIAGPKUTFNRDU-STQMWFEESA-N
-3.7,1.0,neutral,CN(C)C(=O)Oc1ccc[n+](C)c1,=,1.1,RVOLLAQWKVFTGE-UHFFFAOYSA-N
4.2,,neutral,Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)(C)C)cn1,=,1.67,KKYABQBFGDZVNQ-UHFFFAOYSA-N
2.8,0.055,cationic,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,=,3.9,FPCCSQOGAWCVBH-UHFFFAOYSA-N
2.9,,neutral,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,=,2.0,AYUNIORJHRXIBJ-TXHRRWQRSA-N
1.5,0.24,cationic,CC[C@H]1C2C[C@H]3[C@@H]4N(C)c5ccccc5C45C[C@@H](C2[C@H]5O)N3[C@@H]1O,=,4.0,CJDRUOGAGYHKKD-IWMNNKGHSA-N
5.0,,neutral,CCCCCCCC/C=C/CCCCCCCC(=O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@@H](O)[C@@H]1O,=,0.14,FLFGNMFWNBOBGE-FNNZEKJRSA-N
-1.7,0.97,zwitterionic,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,=,0.37,NENPYTRHICXVCS-YNEHKIRRSA-N
0.28,,cationic,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,=,3.9,REYFJDPCWQRWAA-UHFFFAOYSA-N
-2.3,1.0,neutral,C[C@H](O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,=,0.28,XQZXYNRDCRIARQ-LURJTMIESA-N
0.76,0.037000000000000005,anionic,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,=,0.29,GJPICJJJRGTNOD-UHFFFAOYSA-N
2.1,0.2,neutral,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]21,=,0.48,BLGXFZZNTVWLAY-UROMYXJWSA-N
1.1,0.08,cationic,C[C@@]12CCCCC[C@@H](Cc3ccc(O)cc31)[C@@H]2N,=,5.6,VTMVHDZWSFQSQP-VBNZEHGJSA-N
2.1,,neutral,CCC(=O)NC[C@@H]1C[C@H]1c1cccc2c1CCO2,=,0.33,PTOIAAWZLUQTIO-GXFFZTMASA-N
-6.3,,cationic,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)COC(=O)CCCC(=O)NCCCC[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,=,,OOUACICUAVTCEC-LZHWUUGESA-N
0.6,0.61,cationic,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,=,3.3,RKUNBYITZUJHSG-SPUOUPEWSA-N
0.55,0.87,neutral,O=P1(N(CCCl)CCCl)NCCCO1,=,0.73,CMSMOCZEIVJLDB-UHFFFAOYSA-N
2.3,,neutral,CCCNc1nc(NCCC)nc(N(C)OC)n1,=,2.17,FJNLCHNQVJVCPY-UHFFFAOYSA-N
5.9,,cationic,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)[C@@H]1c1cccc([N+](=O)[O-])c1,=,8.4,SVJMLYUFVDMUHP-MGBGTMOVSA-N
-5.7,0.01,anionic,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCC(=O)NCCCC[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1cnc[nH]1)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)O)C(C)C)[C@@H](C)CC)C(=O)O,=,,YSDQQAXHVYUZIW-QCIJIYAXSA-N
0.84,,cationic,CC(CCc1ccc2c(c1)OCO2)NCC(O)c1ccc(O)c(C(N)=O)c1,=,7.9,MPQWSYJGFLADEW-UHFFFAOYSA-N
2.4,0.01,anionic,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,=,0.16,UTNUDOFZCWSZMS-YFHOEESVSA-N
0.24,0.19,cationic,C=CCOc1ccccc1OC[C@H](O)CNC(C)C,=,0.72,CEMAWMOMDPGJMB-CYBMUJFWSA-N
1.8,,cationic,CCN1C[C@@H]2CN(C)C[C@H](C1)C2OC(=O)c1ccc(Cl)cc1,=,9.0,PMCPYLGCPSNSLS-MZBDJJRSSA-N
3.4,,neutral,CC(C)[C@H](NC(=O)[C@H](C(C)C)N(C)C)C(=O)N(C)[C@H](C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)NC(C)(C)C)C(C)C,=,0.33,QMCOCIWNMHBIIA-LROMGURASA-N
1.4,0.39,neutral,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,=,1.1,DRLFMBDRBRZALE-UHFFFAOYSA-N
-0.85,0.85,zwitterionic,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,=,0.22,AVKUERGKIZMTKX-NJBDSQKTSA-N
-8.2,,cationic,C[C@@H](N)[C@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)[C@@H](O)[C@@H](O)[C@@H](N(C)C(=O)CN)[C@H]2O)O1,=,0.27,OWTJVZIKRRJXGS-TYEHMWRTSA-N
0.86,0.02,cationic,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,=,5.3,IKBKZGMPCYNSLU-RGVLZGJSSA-N
1.0,,anionic,CCCCCN(CCCOC)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,=,0.24,QNQZBKQEIFTHFZ-UHFFFAOYSA-N
2.4,0.06,zwitterionic,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,=,1.5,BIIVYFLTOXDAOV-YVEFUNNKSA-N
-0.39,0.84,cationic,CCN(CC)CCNC(=O)c1ccc(N)cc1,=,2.2,REQCZEXYDRLIBE-UHFFFAOYSA-N
3.5,0.02,neutral,O=C1NC(=O)C(c2cn3ccccc3n2)=C1C1=CN2CCN(C(=O)N3CCCCC3)C[C@@H]3C=C(F)C=C1[C@H]32,=,1.2,UWVKPGBFIFWUKH-GKVSMKOHSA-N
0.53,0.9,neutral,S=P(N1CC1)(N1CC1)N1CC1,=,1.6,FOCVUCIESVLUNU-UHFFFAOYSA-N
-2.8,,anionic,O=C1c2c(c3c4ccc(O)cc4n([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c3c3[nH]c4cc(O)ccc4c23)C(=O)N1NC(CO)CO,=,1.45,QMVPQBFHUJZJCS-NTKFZFFISA-N
3.9,0.11,neutral,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,=,0.14,GNBHRKFJIUUOQI-UHFFFAOYSA-N
-1.5,0.61,neutral,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,=,0.28,ZWAOHEXOSAUJHY-ZIYNGMLESA-N
2.9,0.02,cationic,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,=,1.3,OGHNVEJMJSYVRP-UHFFFAOYSA-N
0.29,,cationic,COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,=,1.07,RBOXVHNMENFORY-DNJOTXNNSA-N
1.0,0.23,cationic,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,=,1.5,AGOYDEPGAOXOCK-KCBOHYOISA-N
-0.044,,neutral,CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,=,0.59,KYHQZNGJUGFTGR-UHFFFAOYSA-N
0.76,0.52,neutral,CC(=O)Nc1ccc(O)cc1,=,1.0,RZVAJINKPMORJF-UHFFFAOYSA-N
1.7,,neutral,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,=,4.3,ASMXXROZKSBQIH-VITNCHFBSA-N
0.67,0.029,anionic,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,=,0.15,OELFLUMRDSZNSF-BRWVUGGUSA-N
-4.8,,neutral,C=CC[N@@+]12CC[C@@]34c5ccccc5N5C=C6[C@H]7C[C@H]8[C@@]9(CC[N@@+]8(CC=C)C/C7=C/CO)c7ccccc7N(C=C([C@@H](C[C@@H]31)/C(=C\CO)C2)[C@H]54)[C@@H]69,=,0.32,MUQUYTSLDVKIOF-BBMNSBIFSA-N
-2.2,0.9,cationic,C1COC(NC(C2CC2)C2CC2)=N1,=,4.5,CQXADFVORZEARL-UHFFFAOYSA-N
-0.23,,neutral,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,=,0.37,ANGKOCUUWGHLCE-UHFFFAOYSA-N
2.8,0.11,cationic,CN(C)CCCN1c2ccccc2Sc2ccccc21,=,8.1,ZGUGWUXLJSTTMA-UHFFFAOYSA-N
-4.2,0.39,anionic,CO[C@@]1(NC(=O)[C@H](C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CO[C@@H]21,=,0.17,JWCSIUVGFCSJCK-LIUKBUMOSA-N
-9.0,0.003,neutral,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1,=,0.54,FIAFUQMPZJWCLV-UHFFFAOYSA-N
-2.5,0.65,anionic,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,=,0.26,JTWOMNBEOCYFNV-NFFDBFGFSA-N
-9.0,,cationic,CC(=O)N[C@H](CSSC[C@H](N)C(=O)O)C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(=N)N)C(N)=O,=,1.98,ANIAZGVDEUQPRI-ZJQCGQFWSA-N
-5.8,1.0,neutral,CN(C(=O)CC(=O)N(C)c1c(I)c(C(=O)N[C@H](CO)[C@H](O)CO)c(I)c(C(=O)N[C@H](CO)[C@H](O)CO)c1I)c1c(I)c(C(=O)N[C@H](CO)[C@H](O)CO)c(I)c(C(=O)N[C@H](CO)[C@H](O)CO)c1I,=,0.23,XUHXFSYUBXNTHU-IMECAPTFSA-N
-0.82,,cationic,N#CN,=,0.78,XZMCDFZZKTWFGF-UHFFFAOYSA-N
1.9,0.1,neutral,OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,=,0.77,QHSMEGADRFZVNE-UHFFFAOYSA-N
0.29,0.96,zwitterionic,NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,=,1.9,QGPKADBNRMWEQR-UHFFFAOYSA-N
-1.5,0.65,cationic,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,=,1.8,UCFGDBYHRUNTLO-QHCPKHFHSA-N
0.67,0.5,cationic,CC(C)N(CC[C@H](c1ccccc1)c1cc(CO)ccc1O)C(C)C,=,2.41,DUXZAXCGJSBGDW-HXUWFJFHSA-N
-0.08,0.02,anionic,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,=,0.27,JRURYQJSLYLRLN-BJMVGYQFSA-N
3.9,0.58,cationic,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C,=,0.45,JFJZZMVDLULRGK-URLMMPGGSA-O
3.0,0.02,cationic,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCOc2ccc(F)cc2)C[C@H]1OC,=,1.2,DCSUBABJRXZOMT-RBBKRZOGSA-N
-0.3,0.94,zwitterionic,N=C(N)c1ccc(C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N2CCC(OCC(=O)O)CC2)cc1,=,0.29,FPKOGTAFKSLZLD-FQEVSTJZSA-N
3.0,0.03,cationic,N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1,=,4.85,SGEGOXDYSFKCPT-UHFFFAOYSA-N
4.9,0.003,cationic,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,=,6.35,KDGFLJKFZUIJMX-UHFFFAOYSA-N
