Name ,IC,Human VD,Human Vd ref,Human Fu ,Human Fu ref,Rat VD,Rat Vd ref,Rat Fu ,Rat Fu ref,Dog VD,Dog Vd ref,Dog Fu ,Dog Fu ref,Monkey VD,Monkey Vd ref,Monkey Fu ,Monkey Fu ref,Human blood:plasma ratio,,Log D,LogD ref,PKA Acid,PKA  Acid ref,PKA Base,PKA Base ref
Telmisartan,A,5.3,Berry et al,0.003,Berry et al,2,Berry et al,0.007,Berry et al,2.7,Berry et al,0.018,Berry et al,1.5,Berry et al,0.008,Berry et al,1.2,Berry et al,3.2,"Wienen W, Entzeroth M, van Meel JCA, et al: A review on telmisartan: a novel, long-acting angiotensin II-receptor antagonist. Cardiovasc Drug Rev 2000; 18: 127 – 156.",3.86,Calculated PKA,,
Theophylline,N,0.51,Obach et al,0.61,Obach et al,0.55,Obach et al,0.37,Obach et al,0.68,Obach et al,0.8635,Obach et al,0.69,Obach et al,0.684,Obach et al,1.02,Gastroplus estimate,-0.02,Bennet et al,,,,
Tiludronate,A,1, Jolivette and Ward,0.1, Jolivette and Ward,15, Jolivette and Ward,0.3, Jolivette and Ward,3, Jolivette and Ward,0.3, Jolivette and Ward,7, Jolivette and Ward,0.2, Jolivette and Ward,0.6,Berry et al,-8.6,Calc,0.45,Calculated PKA,,
Tomopenem,Z,0.23,Obach et al,0.91,Obach et al,0.2,Obach et al,0.95,Obach et al,0.25,Obach et al,0.928,Obach et al,0.18,Obach et al,0.85,Obach et al,1.16,Gastroplus estimate,-3.87,Calc,4.27,Calculated PKA,,Calculated PKA
Topotecan,B,1.8,Obach et al,0.65,Obach et al,3.08,Obach et al,0.21,in-house,1.7,Obach et al,0.17,Berry et al,7.38,Obach et al,0.8,Obach et al,1,Berry et al,0.3,in house,,,,Calculated PKA
Troglitazone,A,0.71, Jolivette and Ward,0.006, Jolivette and Ward,1, Jolivette and Ward,0.01, Jolivette and Ward,0.77, Jolivette and Ward,0.004, Jolivette and Ward,0.71, Jolivette and Ward,0.005, Jolivette and Ward,0.55,Berry et al,4.2,"Giaginis C, Theocharis S, Tsantili-Kakoulidou A.Investigation of the lipophilic behaviour of some thiazolidinediones. Relationships with PPAR-gamma activity,J Chromatogr B Analyt Technol Biomed Life Sci. 2007,857,181-7",6.34,Calculated PKA,,
Trovafloxacin,Z,1.3,Obach et al,0.24,Obach et al,0.75,Obach et al,0.07,Obach et al,1.37,Obach et al,0.25,Obach et al,1.93,Obach et al,0.34,Obach et al,1,"Teng R, Girard D, Gootz TD, Foulds G, Liston TE,Pharmacokinetics of trovafloxacin (CP-99,219), a new quinolone, in rats, dogs, and monkeys,Antimicrob Agents Chemother. 1996,40:561-6",0.17,Calc,5.8,Calculated PKA,,Calculated PKA
Valproic Acd,A,0.14,Obach et al,0.084,Obach et al,0.66,Obach et al,0.366,Obach et al,0.33,Obach et al,0.215,Obach et al,0.25,Obach et al,0.22,Obach et al,N,Berry et al,0.27,Calc,4.82,Calculated PKA,,
Venlafaxine,B,4.4,Obach et al,0.73,Obach et al,6.6,Obach et al,0.59,Obach et al,3.3,Obach et al,0.5932,Obach et al,3.5,Obach et al,0.708,Obach et al,1,Berry et al,2.34,Calc,,,,Calculated PKA
Verapamil,B,3.7,Obach et al,0.093,Obach et al,2.15,Obach et al,0.1045,Obach et al,3.8,Obach et al,0.2265,Obach et al,5.35,Obach et al,0.341,Obach et al,0.84,Berry et al,2.9,in house,,,,Manallack
Verlukast,A,0.11,Berry et al,0.0007,Berry et al,0.81,Berry et al,0.003,Berry et al,0.24,Berry et al,0.012,Berry et al,0.33,Berry et al,0.002,Berry et al,1,Berry et al,2.24,Calc,4.27,Calculated PKA,,
Vildagliptin,B,1.03,Obach et al,0.8851,Obach et al,8.6,Obach et al,0.92,Obach et al,1.6,Obach et al,0.97,Obach et al,0.7,Obach et al,0.9597,Obach et al,1,"He H, Tran P, Yin H, Smith H, Batard Y, Wang L, Einolf H, Gu H, Mangold JB, Fischer V, and Howard D,Absorption, metabolism, and excretion of [14C]vildagliptin, a novel dipeptidyl peptidase 4 inhibitor, in humans, Drug Metab Dispos. (2009)37:536-44.",0.97,Calc,,,,Calculated PKA
Vinblastine,B,24, Jolivette and Ward,0.18, Jolivette and Ward,12, Jolivette and Ward,0.13, Jolivette and Ward,2.3, Jolivette and Ward,0.059, Jolivette and Ward,1.5, Jolivette and Ward,0.16, Jolivette and Ward,1,Berry et al,3.69,Bennet et al,,,,Manallack
Warfarin,A,0.11, Jolivette and Ward,0.006, Jolivette and Ward,0.22, Jolivette and Ward,0.005, Jolivette and Ward,0.28, Jolivette and Ward,0.033, Jolivette and Ward,0.11, Jolivette and Ward,0.005, Jolivette and Ward,0.59,Berry et al,1.12,Bennet et al,5.1,Manallack,,
Zidovudine,N,1.8,Berry et al,0.006,Berry et al,0.22,Berry et al,0.005,Berry et al,0.28,Berry et al,0.033,Berry et al,0.11,Berry et al,0.005,Berry et al,1.1,Berry et al,0.08,Bennet et al,,,,
cmet orange ,N,1.1,in-house,0.05,in-house,0.22,in-house,0.03,in-house,0.28,in-house,0.26,in-house,0.11,in-house,0.23,in-house,1,In-house,2.1,In-house,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Obach et al,"Lombardo F, Waters NJ, Argikar UA, Dennehy MK, Zhan J, Gunduz M, Harriman SP, Berellini G, Rajlic IL, and Obach RS (2013) Comprehensive assessment of human pharmacokinetic prediction based on in vivo animal pharmacokinetic data, part 1: volume of distribution at steady state. J Clin Pharmacol 53:167–177.",,,,,,,,,,,,,,,,,,,,,,,,
Jolivette and Ward,"Jolivette LJ and Ward KW(2005)Extrapolation of human pharmacokinetic parameters from rat, dog, and monkey data: Molecular properties associated with extrapolative success or failure,J Pharm Sci. 94:1467-83.",,,,,,,,,,,,,,,,,,,,,,,,
Berry et al,"Berry LM, Li C, and Zhao Z (2011) Species differences in distribution and prediction of human V (ss) from preclinical data. Drug Metab Dispos 39:2103–2116.",,,,,,,,,,,,,,,,,,,,,,,,
Bennet et al,"Benet LZ, Broccatelli F, Oprea TI. (2011)BDDCS applied to over 900 drugs AAPS J,13:519–47.",,,,,,,,,,,,,,,,,,,,,,,,
DrugBank,"Wishart DS, Knox C, Guo AC, Shrivastava S, Hassanali M, Stothard P, et al. (2006) DrugBank: a comprehensive resource for in silico drug discovery and exploration. 34:668–72.",,,,,,,,,,,,,,,,,,,,,,,,
Manallack,Manallack DT (2007) The pKa Distribution of Drugs: Application to Drug Discovery  Perspect Medicin Chem. 2007:25–38.,,,,,,,,,,,,,,,,,,,,,,,,
