Name,CAS #,SMILES,human VDss(L/kg),human fup,logD@pH7.4,Cationic fi@pH7.4,pKa1,pKa1 type,pKa2,pKa2 type,pKa3,pKa3 type,pKa4,pKa4 type,pKa ref,logD ref,VDss and fup ref.,Alpha_adrenergic,Beta_adrenergic,benzodiazepine,Beta_lactams_cephalosporines,Beta_lactams_penams_penems,Ca_blockers_dihydropyridines,fluoroquinolone_antibiotics,morphinans,NSAIDs,nucleotide,steroids,tri_tetracyclic_antidepressants
Cephalexin,15686-71-2,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccccc3)C2=O)C(=O)O,0.21,0.85,-1.1,0.275,2.61,a,6.98,b,,,,,"Shalaeva, Marina; Kenseth, Jeremy; Lombardo, Franco; Bastin, Andrea . Measurement of Dissociation Constants (pKa Values) of Organic Compounds by Multiplexed Capillary Electrophoresis Using Aqueous and Cosolvent Buffers. J. Pharm. Sci. 2008, 97, 2581-2606.//Yamana, Tsukinaka; Tsuji, Akira. Comparative Stability of Cephalosporins in Aqueous Solution: Kinetics and Mechanisms of Degradation. J. Pharm. Sci. 1976, 65, 1563-1574.","Irwin, Vincent P.; Quigley, John M.; Timoney, Richard F. 1-​Octanol-​water partition coefficients of the anionic and zwitterionic species of diprotic zwitterionic cephalosporin antibiotics . Int. J. Pharm. 1988, 43, 187-188.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,1,0,0,0,0,0,0,0,0
Cephaloridine*,50-59-9,OC(=O)C1=C(C[n+]2ccccc2)CS[C@@H]3[C@H](NC(=O)Cc4cccs4)C(=O)N13,0.46,0.8,-1.62,0.000,1.67,a,100,b,,,,,"Yamana, Tsukinaka; Tsuji, Akira. Comparative Stability of Cephalosporins in Aqueous Solution: Kinetics and Mechanisms of Degradation. J. Pharm. Sci. 1976, 65, 1563-1574.","Kratochwil, Nicole A.; Huber, Walter; Muller, Francis; Kansy, Manfred; Gerber, Paul R. Predicting plasma protein binding of drugs: a new approach. Biochem. Pharmacol. 2002, 64, 1355-1374.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,1,0,0,0,0,0,0,0,0
Cephalothin,153-61-7,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc3cccs3)C2=O)C(=O)O,0.07,0.22,-2.2,0.000,2.22,a,,,,,,,"Yamana, Tsukinaka; Tsuji, Akira. Comparative Stability of Cephalosporins in Aqueous Solution: Kinetics and Mechanisms of Degradation. J. Pharm. Sci. 1976, 65, 1563-1574.","Kratochwil, Nicole A.; Huber, Walter; Muller, Francis; Kansy, Manfred; Gerber, Paul R. Predicting plasma protein binding of drugs: a new approach. Biochem. Pharmacol. 2002, 64, 1355-1374.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,1,0,0,0,0,0,0,0,0
Cephradine,38821-53-3,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C3=CCC=CC3)C2=O)C(=O)O,0.21,0.95,-1.15,0.443,2.53,a,7.3,b,,,,,"Yamana, Tsukinaka; Tsuji, Akira. Comparative Stability of Cephalosporins in Aqueous Solution: Kinetics and Mechanisms of Degradation. J. Pharm. Sci. 1976, 65, 1563-1574.","Irwin, Vincent P.; Quigley, John M.; Timoney, Richard F. 1-​Octanol-​water partition coefficients of the anionic and zwitterionic species of diprotic zwitterionic cephalosporin antibiotics . Int. J. Pharm. 1988, 43, 187-188.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,1,0,0,0,0,0,0,0,0
Cerivastatin,145599-86-6,COCc1c(nc(C(C)C)c(\C=C\[C@@H](O)C[C@@H](O)CC(=O)O)c1c2ccc(F)cc2)C(C)C,0.33,0.01,1.44,0.000,2.48,b,4.9,a,,,,,"Tam, Kin Y.; Avdeef, Alex; Tsinman, Oksana; Sun, Na. The Permeation of Amphoteric Drugs through Artificial Membranes - An in Combo Absorption Model Based on Paracellular and Transmembrane Permeability. J. Med. Chem. 2010, 53, 392-401.","Austin, Rupert P.; Barton, Patrick; Cockroft, Scott L.; Wenlock, Mark C.; Riley, Robert J. The influence of nonspecific microsomal binding on apparent intrinsic clearance, and its prediction from physicochemical properties. Drug Metab. Disp. 2002, 30, 1497-1503.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,0,0
Chlorambucil,305-03-3,OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,0.26,0.01,-1.4,0.000,2.49,b,4.3,a,,,,,"pKa of 4.3 estimated. Ehrsson, Hans; Eksborg, Staffan; Wallin, Inger; Nilsson, Sten-Ove. Degradation of chlorambucil in aqueous solution. J. Pharm. Sci. 1980, 69, 1091-1094. ","Benet, Leslie Z.; Broccatelli, Fabio; Oprea, Tudor I.  BDDCS Applied to Over 900 Drugs. AAPS Journal (2011), 13(4), 519-547.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,0,0
Chloramphenicol,56-75-7,OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc(cc1)N(=O)=O,0.94,0.34,1.55,0.000,,,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,0,0
Chlordiazepoxide,58-25-3,CNC1=Nc2ccc(Cl)cc2C(=N(=O)C1)c3ccccc3,0.25,0.056,3.08,0.000,,,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,1,0,0,0,0,0,0,0,0,0
Chlorpheniramine,132-22-9,CN(C)CCC(c1ccc(Cl)cc1)c2ccccn2,3.3,0.7,1.56,0.986,9.26,b,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,0,0
Chlorpromazine,50-53-3,CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13,10,0.056,3.2,0.986,9.25,b,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,0,0
Chlortetracycline,57-62-5,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N)C(=O)c4c(O)ccc(Cl)c4[C@@]3(C)O,0.9,0.52,-0.89,0.995,3.33,a,7.55,a,9.33,b,,,"Babic, Sandra; Horvat, Alka J. M.; Mutavdzic Pavlovic, Dragana; Kastelan-Macan, Marija. Determination of pKa values of active pharmaceutical ingredients. TrAC, Trends Anal. Chem. 2007, 26, 1043-1061. (ref. 3 in cited work).","Colaizzi, John L.; Klink, Paul R. pH-Partition Behavior of Tetracyclines. J. Pharm. Sci. 1969, 58, 1184-1189.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,0,0
Cimetidine,51481-61-9,CN\C(=N/CCSCc1nc[nH]c1C)\NC#N,1.2,0.78,0.4,0.271,6.97,b,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,0,0
Ciprofloxacin,85721-33-1,OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O,2.1,0.7,-1,0.958,6.09,a,8.74,b,,,,,"Ross, Danna L.; Riley, Christopher M. Physicochemical properties of the fluoroquinolone antimicrobials. V. Effect of fluoroquinolone structure and pH on the complexation of various fluoroquinolones with magnesium and calcium ions. Int. J. Pharm. 1992, 83, 267-272.","Ross, Danna L.; Riley, Christopher M. Physicochemical properties of the fluoroquinolone antimicrobials. V. Effect of fluoroquinolone structure and pH on the complexation of various fluoroquinolones with magnesium and calcium ions. Int. J. Pharm. 1992, 83, 267-272.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,1,0,0,0,0,0
Citalopram,59729-33-8,CN(C)CCCC1(OCc2cc(ccc12)C#N)c3ccc(F)cc3,12,0.2,1.31,0.990,9.38,b,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,0,0
Clomipramine,303-49-1,CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13,13,0.029,3.62,0.990,9.38,b,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,0,1
Clonidine,4205-90-7,Clc1cccc(Cl)c1NC2=NCCN2,3.3,0.56,0.29,0.817,8.05,b,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",1,0,0,0,0,0,0,0,0,0,0,0
Clozapine,5786-21-0,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,1.6,0.055,3.38,0.629,7.63,b,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,0,1
Cocaine,50-36-2,COC(=O)[C@H]1[C@H](C[C@@H]2CC[C@H]1N2C)OC(=O)c3ccccc3,2,0.12,0.48,0.952,8.7,b,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,0,0
Codeine,76-57-3,COc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C,3.5,0.7,0.39,0.863,8.2,b,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,1,0,0,0,0
Colchicine,64-86-8,COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(=O)C,6.1,0.61,0.9,0.000,,,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,0,0
Delorazepam,2894-67-9,Clc1ccc2NC(=O)CN=C(c3ccccc3Cl)c2c1,2.2,0.051,3.16,0.000,,,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,1,0,0,0,0,0,0,0,0,0
Demethylchlortetracycline,127-33-3,CN(C)[C@H]1[C@@H]2C[C@@H]3[C@H](O)c4c(Cl)ccc(O)c4C(=O)C3=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N,1.3,0.59,-1.3,0.995,3.37,a,7.36,a,9.44,b,,,"Babic, Sandra; Horvat, Alka J. M.; Mutavdzic Pavlovic, Dragana; Kastelan-Macan, Marija. Determination of pKa values of active pharmaceutical ingredients. TrAC, Trends Anal. Chem. 2007, 26, 1043-1061. (ref. 3 in cited work).","Colaizzi, John L.; Klink, Paul R. pH-Partition Behavior of Tetracyclines. J. Pharm. Sci. 1969, 58, 1184-1189.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,0,0
Desipramine,50-47-5,CNCCCN1c2ccccc2CCc3ccccc13,15,0.16,1.3,0.999,10.23,b,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,0,1
Desmethyldiazepam,1088-11-5,Clc1ccc2NC(=O)CN=C(c3ccccc3)c2c1,0.45,0.03,3.26,0.000,,,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,1,0,0,0,0,0,0,0,0,0
Dexamethasone,50-02-2,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0.94,0.32,2.03,0.000,,,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,1,0
Diazepam,439-14-5,CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,1,0.023,2.98,0.000,,,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,1,0,0,0,0,0,0,0,0,0
Diclofenac,15307-86-5,OC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl,0.22,0.005,1.22,0.000,4.4,a,,,,,,,"Meloun, Milan; Bordovská, Sylva; Galla, Lubomír. The thermodynamic dissociation constants of four non-steroidal anti-inflammatory drugs by the least-squares nonlinear regression of
multiwavelength spectrophotometric pH-titration data. J. Pharm. Biomed. Anal. 2007, 45, 552–564.//Barbato, F.; Caliendo, G.; La Rotonda, M. I.; Silipo, C.; Toraldo, G.; Vittoria, A. Distribution Coefficients by Curve Fitting: Application to Ionogenic Nonsteroidal Antiinflammatory Drugs. QSAR, 1986, 5, 88-95.","Barbato, F.; Caliendo, G.; La Rotonda, M. I.; Silipo, C.; Toraldo, G.; Vittoria, A. Distribution Coefficients by Curve Fitting: Application to Ionogenic Nonsteroidal Antiinflammatory
Drugs. QSAR, 1986, 5, 88-95.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,1,0,0,0
Dicloxacillin,3116-76-5,Cc1onc(c1C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(=O)O)c4c(Cl)cccc4Cl,0.11,0.033,-0.17,0.000,2.76,a,,,,,,,"pKa value determined at 37 °C. Tsuji, Akira; Kubo, Osamu; Miyamoto, Etsuko; Yamana,Tsukinaka.  Physicochemical properties of β-​lactam antibiotics:  oil-​water distribution. J. Pharm. Sci. 1977, 66, 1675-1679."," logPapp at pH 6.13 and 37 °. Tsuji, Akira; Kubo, Osamu; Miyamoto, Etsuko; Yamana,Tsukinaka.  Physicochemical properties of β-​lactam antibiotics:  oil-​water distribution. J. Pharm. Sci. 1977, 66, 1675-1679.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,1,0,0,0,0,0,0,0
Diflunisal,22494-42-4,OC(=O)c1cc(ccc1O)c2ccc(F)cc2F,0.097,0.0016,0.76,0.000,3,a,,,,,,,"Barbato, Francesco; La Rotonda, Maria I.; Quaglia, Fabiana. Interactions of Nonsteroidal Antiinflammatory Drugs with Phospholipids: Comparison between Octanol​/Buffer Partition Coefficients and Chromatographic Indexes on Immobilized Artificial Membranes. J. Pharm. Sci. 1997, 86, 225-229.","Barbato, F.; Caliendo, G.; La Rotonda, M. I.; Silipo, C.; Toraldo, G.; Vittoria, A. Distribution Coefficients by Curve Fitting: Application to Ionogenic Nonsteroidal Antiinflammatory
Drugs. QSAR, 1986, 5, 88-95.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,1,0,0,0
Diltiazem,42399-41-7,COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)C,4.1,0.18,2,0.820,8.06,b,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,0,0
Diphenhydramine,58-73-1,CN(C)CCOC(c1ccccc1)c2ccccc2,6.5,0.19,1.38,0.980,9.1,b,,,,,,,"Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Obach, R. Scott; Shalaeva, Marina Y.; Gao, Feng. Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-​class-​out statistics. J. Med. Chem. 2004, 47, 1242-1250.","Lombardo, Franco; Berellini, Giuliano; Scott Obach, R. Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 1352 drug compounds. Drug Metab Disp. 2018, 46, 1466-1477.",0,0,0,0,0,0,0,0,0,0,0,0
