logD@pH7.4,Cationic fi@pH7.4,human fup,std_smiles,std_relation,human VDss(L/kg),inchi_key
-0.68,0.0,0.5,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,=,0.46,TUZYXOIXSAXUGO-PZAWKZKUSA-N
1.6,0.0,0.25,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,=,0.86,OIGNJSKKLXVSLS-VWUMJDOOSA-N
1.22,0.0,0.27,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,=,0.57,XOFYZVNMUHMLCC-ZPOLXVRWSA-N
-0.57,0.986,0.84,CCN(CC)CCNC(=O)c1ccc(N)cc1,=,2.2,REQCZEXYDRLIBE-UHFFFAOYSA-N
2.7,0.987,0.11,CN(C)CCCN1c2ccccc2Sc2ccccc21,=,8.1,ZGUGWUXLJSTTMA-UHFFFAOYSA-N
3.33,0.98,0.09,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,=,14.0,PWWVAXIEGOYWEE-UHFFFAOYSA-N
1.49,0.987,0.038,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,=,2.2,JWHAUXFOSRPERK-UHFFFAOYSA-N
4.19,0.0,0.016,CC(C)c1cccc(C(C)C)c1O,=,4.7,OLBCVFGFOZPWHH-UHFFFAOYSA-N
0.93,0.991,0.13,CC(C)NCC(O)COc1cccc2ccccc12,=,3.1,AQHHHDLHHXJYJD-UHFFFAOYSA-N
1.1,1.68,0.13,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,=,45.0,GPKJTRJOBQGKQK-UHFFFAOYSA-N
1.51,0.8170000000000001,0.26,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,=,2.9,LOUPRKONTZGTKE-LHHVKLHASA-N
1.3,0.985,0.06,CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC,=,1.1,WAOQONBSWFLFPE-VIFPVBQESA-N
-0.5,0.922,0.95,CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,=,1.2,VMXUWOKSQNHOCA-UKTHLTGXSA-N
0.71,0.9690000000000001,0.16,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,=,0.65,GUJRSXAPGDDABA-NSHDSACASA-N
1.59,0.888,0.1,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,=,1.1,RAPZEAPATHNIPO-UHFFFAOYSA-N
0.37,0.975,0.6,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,=,1.3,XSVMFMHYUFZWBK-NSHDSACASA-N
-1.45,0.996,0.62,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,=,1.3,ZBMZVLHSJCTVON-UHFFFAOYSA-N
-0.11,0.9640000000000001,0.55,C[C@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@@H](C)N1,=,3.9,DZZWHBIBMUVIIW-DTORHVGOSA-N
3.34,0.738,0.075,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,=,9.4,GGCSSNBKKAUURC-UHFFFAOYSA-N
-0.93,0.0,0.23,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,=,0.3,JLKIGFTWXXRPMT-UHFFFAOYSA-N
0.8,0.0,0.004,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,=,0.11,NCEXYHBECQHGNR-QZQOTICOSA-N
-1.47,0.0,0.017,O=C1C(CC[S+]([O-])c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,=,0.12,MBGGBVCUIVRRBF-UHFFFAOYSA-N
-0.4,0.992,0.83,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,=,1.7,KQKPFRSPSRPDEB-UHFFFAOYSA-N
-0.52,0.0,0.006,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,=,0.04,MDKGKXOCJGEUJW-UHFFFAOYSA-N
0.17,0.996,0.25,Nc1c2c(nc3ccccc13)CCCC2,=,11.0,YLJREFDVOIBQDA-UHFFFAOYSA-N
5.63,0.0,0.0007,C#CCCCC(=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,=,12.0,ZHXUEUKVDMWSKV-UHFFFAOYSA-N
-0.32,0.0,0.0085,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,=,0.19,LZNWYQJJBLGYLT-UHFFFAOYSA-N
-1.49,0.9520000000000001,0.75,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,=,1.5,XWTYSIMOBUGWOL-UHFFFAOYSA-N
3.17,0.0,0.057,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,=,0.35,MUMGGOZAMZWBJJ-DYKIIFRCSA-N
-1.41,0.998,0.78,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,=,1.2,OFVLGDICTFRJMM-WESIUVDSSA-N
6.99,0.0,0.05,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,=,8.9,CYQFCXCEBYINGO-IAGOWNOFSA-N
0.49,0.0,0.61,Cn1c(=O)c2nc[nH]c2n(C)c1=O,=,0.51,ZFXYFBGIUFBOJW-UHFFFAOYSA-N
-0.69,0.0,0.14,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,=,1.2,IUJDSEJGGMCXSG-UHFFFAOYSA-N
-0.74,0.0,0.015,C[C@H](C(=O)O)c1ccc(C(=O)c2ccccc2)s1,=,0.08,GUHPRPJDBZHYCJ-VIFPVBQESA-N
-0.39,0.9620000000000001,0.9,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,=,1.5,BLJRIMJGRPQVNF-JTQLQIEISA-N
1.81,0.76,0.08900000000000001,Cc1ccccc1OCC(O)CNCCOc1ccc(C(N)=O)cc1,=,4.0,SKQDKFOTIPJUSV-UHFFFAOYSA-N
0.36,0.0,0.05,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,=,0.12,JLRGJRBPOGGCBT-UHFFFAOYSA-N
2.1,0.0,0.003,Cc1c(Cl)cccc1Nc1ccccc1C(=O)O,=,0.16,YEZNLOUZAIOMLT-UHFFFAOYSA-N
1.04,0.996,0.037000000000000005,Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,=,1.5,OOGJQPCLVADCPB-HXUWFJFHSA-N
0.47,0.0,0.01,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,=,0.21,NGBFQHCMQULJNZ-UHFFFAOYSA-N
2.97,0.19699999999999998,0.08,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,=,0.52,PHLBKPHSAVXXEF-UHFFFAOYSA-N
2.53,0.11199999999999999,0.1,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,=,0.58,JOFWLTCLBGQGBO-UHFFFAOYSA-N
0.61,0.42,0.5,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,=,1.5,IEDVJHCEMCRBQM-UHFFFAOYSA-N
3.1,0.986,0.051,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,=,16.0,ZSCDBOWYZJWBIY-UHFFFAOYSA-N
1.8,0.826,0.24,N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12,=,1.3,WVPSKSLAZQPAKQ-CDMJZVDBSA-N
0.13,0.0,0.08,CCCC(CCC)C(=O)O,=,0.14,NIJJYAXOARWZEE-UHFFFAOYSA-N
-1.36,0.0,0.04,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,=,0.22,ACWBQPMHZXGDFX-QFIPXVFZSA-N
0.87,0.992,0.73,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,=,4.4,PNVNVHUZROJLTJ-UHFFFAOYSA-N
2.24,0.971,0.09300000000000001,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,=,3.7,SGTNSNPWRIOYBX-UHFFFAOYSA-N
2.15,0.0,0.42,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,=,2.2,BCEHBSKCWLPMDN-MGPLVRAMSA-N
-0.8,0.0,0.015,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,=,0.13,PJVWKTKQMONHTI-UHFFFAOYSA-N
0.12,0.0,0.8,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,=,1.8,HBOMLICNUCNMMY-XLPZGREQSA-N
,,,invalid_smiles,=,,invalid_smiles
